m1000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.226154 | 0.232225 | 0.217561 | 0.0039826 | 0.000702665 | 0.276519 | 0.282319 | 0.27165 | 0.00471719 | 0.00125816 | 0.277952 | 0.288245 | 0.274836 | 0.0047459 | 0.00128455
200 | 0.0191145 | 0.0193818 | 0.0187622 | 0.000426762 | 9.685e-06 | 0.0223875 | 0.0228381 | 0.0220153 | 0.000493385 | 3.86485e-05 | 0.0224705 | 0.0234108 | 0.0221165 | 0.000495776 | 3.96895e-05
300 | 0.00394831 | 0.00410803 | 0.00378941 | 0.000110515 | -5.8409e-06 | 0.00455556 | 0.00465133 | 0.00446505 | 0.000126024 | -1.822e-06 | 0.00456679 | 0.00475763 | 0.00448866 | 0.000126272 | -1.69715e-06
400 | 0.00116835 | 0.00123647 | 0.00110527 | 3.94442e-05 | -3.42665e-06 | 0.00134095 | 0.00136938 | 0.00131181 | 4.49483e-05 | -2.5137e-06 | 0.00134286 | 0.00139768 | 0.00132041 | 4.50141e-05 | -2.49605e-06
500 | 0.0004209 | 0.000451039 | 0.000393974 | 1.71694e-05 | -1.92826e-06 | 0.000482816 | 0.000493223 | 0.000471559 | 1.95708e-05 | -1.729e-06 | 0.000483147 | 0.000502547 | 0.000475338 | 1.96453e-05 | -1.72609e-06
600 | 0.000171714 | 0.000185849 | 0.000159299 | 8.53237e-06 | -1.00692e-06 | 0.000197371 | 0.000201713 | 0.000192382 | 9.73635e-06 | -9.77475e-07 | 0.000197381 | 0.000205427 | 0.000194269 | 9.7603e-06 | -9.74755e-07
700 | 7.6317e-05 | 8.32913e-05 | 7.02542e-05 | 4.65749e-06 | -5.35667e-07 | 8.7998e-05 | 9.00228e-05 | 8.56179e-05 | 5.287e-06 | -5.28041e-07 | 8.79639e-05 | 9.16312e-05 | 8.66283e-05 | 5.29248e-06 | -5.28347e-07
800 | 3.61226e-05 | 3.96964e-05 | 3.30282e-05 | 2.76476e-06 | -2.97823e-07 | 4.18291e-05 | 4.28121e-05 | 4.06163e-05 | 3.13754e-06 | -3.02685e-07 | 4.1804e-05 | 4.35468e-05 | 4.11866e-05 | 3.14314e-06 | -3.03734e-07
900 | 1.79331e-05 | 1.98308e-05 | 1.63042e-05 | 1.72632e-06 | -1.7019e-07 | 2.08685e-05 | 2.1378e-05 | 2.02313e-05 | 1.95652e-06 | -1.76451e-07 | 2.0855e-05 | 2.1731e-05 | 2.05614e-05 | 1.95965e-06 | -1.77416e-07
1000 | 9.24782e-06 | 1.02863e-05 | 8.36526e-06 | 1.12759e-06 | -9.9515e-08 | 1.08155e-05 | 1.10949e-05 | 1.04663e-05 | 1.27692e-06 | -1.0648e-07 | 1.08101e-05 | 1.12687e-05 | 1.06641e-05 | 1.27902e-06 | -1.06462e-07
